title,price,OS,SSD,Display,In_build_sw,warranty,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,35490,64 bit Windows 11 Operating System,256,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,1,8,DDR4,Intel,Core i3,11.0,
Lenovo V15 G2 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,33999,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,No,1 Year Onsite Warranty + 1 Year Accidental Damage Protection Add On,2,8,DDR4,Intel,Core i3,11.0,
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,45490,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,3,8,DDR4,Intel,Core i3,12.0,
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,33990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,4,8,DDR4,Intel,Core i3,10.0,
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,67990,64 bit Windows 11 Operating System,512,43.94 cm (17.3 Inch) Display,,1 Year onsite warranty,5,8,DDR4,AMD,Ryzen 7,,8.0
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,52990,64 bit Windows 11 Operating System,512,43.94 cm (17.3 Inch) Display,,1 Year Onsite Warranty,6,8,DDR4,AMD,Ryzen 5,,6.0
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Ho...,47990,64 bit Windows 11 Operating System,256,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,7,8,DDR4,AMD,Ryzen 5,,6.0
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,49123,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,8,16,DDR4,AMD,Ryzen 5,,6.0
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,57499,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,9,8,DDR4,Intel,Core i5,12.0,
HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15-EG2009TU Thin and Light Lapt...,62990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,10,8,DDR4,Intel,Core i5,12.0,
