title,price,SSD,In_build_sw,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type,average_rating
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,35490,256,,1,8,1,2,2,11.0,8.0,3,64.0,14.0,0,1,2,3.825
Lenovo V15 G2 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,33999,512,No,2,8,1,2,2,11.0,8.0,3,64.0,15.6,0,1,2,3.635135135135135
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,45490,512,Microsoft Office Home & Student 2021,3,8,1,2,2,12.0,8.0,3,64.0,15.6,0,1,2,3.738095238095238
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,33990,512,Office Home and Student 2021,4,8,1,2,2,10.0,8.0,3,64.0,15.6,0,1,2,4.035714285714286
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,67990,512,,5,8,1,0,12,,8.0,3,64.0,17.3,0,1,2,4.333333333333333
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,52990,512,,6,8,1,0,11,,6.0,3,64.0,17.3,0,1,2,3.549019607843137
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Ho...,47990,256,Office Home and Student 2021,7,8,1,0,11,,6.0,3,64.0,15.6,0,1,2,3.6875
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,49123,512,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",8,16,1,0,11,,6.0,3,64.0,15.6,0,1,2,3.8823529411764706
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,57499,512,,9,8,1,2,3,12.0,8.0,3,64.0,15.6,0,1,2,3.25
HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15-EG2009TU Thin and Light Lapt...,62990,512,Microsoft Office Home & Student 2021,10,8,1,2,3,12.0,8.0,3,64.0,15.6,0,1,2,3.6666666666666665
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,39990,512,"MS Office Home & Student 2019, Mi Smart Share, DTS Audio processing",12,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,2,3.923076923076923
Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,27799,256,,13,8,1,2,1,,2.0,3,64.0,15.6,0,2,2,3.7358490566037736
acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) A315-23 Laptop,26990,256,,14,8,1,0,10,,2.0,3,64.0,15.6,0,1,0,4.0
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,35990,512,,15,8,1,2,2,11.0,8.0,3,64.0,15.6,0,1,2,3.1818181818181817
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,54990,512,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts",16,8,1,0,11,,6.0,3,64.0,15.6,0,1,2,3.5483870967741935
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,20990,128,,17,4,1,2,1,,4.0,3,64.0,14.0,0,1,2,3.7125
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,39990,512,Microsoft Office Home & Student 2021,18,8,1,2,2,11.0,8.0,3,64.0,14.0,0,1,2,3.825
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,256,,19,4,1,2,1,,2.0,3,64.0,14.0,0,1,2,3.6835443037974684
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,51990,512,,20,8,1,0,11,,6.0,3,64.0,14.0,0,1,2,3.6125
HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,40950,512,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",21,8,1,2,2,11.0,8.0,3,64.0,15.6,0,1,2,3.4
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,40990,256,Office Home and Student 2021,22,8,1,2,2,11.0,8.0,3,64.0,15.6,0,1,2,3.36
ASUS Vivobook 15 Touch Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EZ311WS Thin and Li...,39990,512,,24,8,1,2,2,11.0,8.0,3,64.0,15.6,1,1,2,3.2
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB71...,38990,512,Office Home and Student 2021,25,8,1,0,11,,4.0,3,32.0,14.0,0,1,2,3.75
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,86990,256,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",26,8,1,1,6,,8.0,1,,13.3,0,1,1,3.757575757575758
HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,25990,256,,28,8,1,0,0,,2.0,3,64.0,14.0,0,1,2,3.4285714285714284
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,52990,512,,29,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,2,
acer Extensa Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54-583M Thin and Light Laptop,40990,512,,31,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,0,3.5454545454545454
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-BQ522WS Thin and Light La...,46990,512,,32,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,2,3.652173913043478
ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB ...,109990,1024,,33,16,2,2,4,12.0,8.0,3,64.0,17.3,0,1,2,3.7088607594936707
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,52990,512,,34,8,1,2,3,11.0,8.0,3,64.0,15.6,0,1,2,3.5342465753424657
ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-K...,85990,512,Microsoft Office Home & Student 2021,35,16,2,2,3,12.0,8.0,3,64.0,14.0,0,1,2,3.0
Lenovo Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 81X800LGIN Thin and Lig...,36900,512,Office Home and Student 2021,36,8,1,2,2,11.0,8.0,3,64.0,15.6,0,2,2,
ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graph...,74990,512,Office Home and Student 2021,37,16,1,2,3,11.0,8.0,3,64.0,14.0,1,1,2,4.0
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,77990,512,,38,8,1,0,12,,8.0,3,64.0,15.6,0,1,2,
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,70990,512,Office Home and Student 2021,39,16,1,0,12,,8.0,3,64.0,15.6,0,1,2,3.6779661016949152
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,49990,512,,40,8,1,0,11,,6.0,3,64.0,15.6,0,1,3,3.9130434782608696
ASUS Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ701WS Thin and Light Laptop,54990,512,,41,16,1,2,4,11.0,8.0,3,64.0,15.6,0,1,2,3.6486486486486487
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,58990,512,,42,16,1,0,12,,8.0,3,64.0,15.6,0,1,2,2.5
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,36990,512,"Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart",43,8,1,0,10,,4.0,3,64.0,15.6,0,1,2,3.71875
ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,70990,512,,44,16,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,3.625
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,45123,512,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart",45,8,1,0,11,,6.0,3,64.0,15.6,0,1,2,3.5384615384615383
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,85990,512,,46,16,1,2,4,11.0,8.0,3,64.0,15.6,0,2,3,3.8333333333333335
